      0: system.ruby.l1_cntrl0.L1Dcache:  HelloWorld! From a SimObject (startup).
      0: system.ruby.l1_cntrl0.L1Icache:  HelloWorld! From a SimObject (startup).
      0: system.ruby.l2_cntrl0.L2cache:  HelloWorld! From a SimObject (startup).
 630000: system.ruby.l1_cntrl0.L1Icache: Hello World! Occupied value : 3.
 630000: system.ruby.l1_cntrl0.L1Dcache: Hello World! Occupied value : 6.
 640000: system.ruby.l1_cntrl0.L1Dcache: Hello World! Occupied value : 6.
 640000: system.ruby.l1_cntrl0.L1Icache: Hello World! Occupied value : 3.
 640000: system.ruby.l2_cntrl0.L2cache: Hello World! Occupied value : 9.
 650000: system.ruby.l2_cntrl0.L2cache: Hello World! Occupied value : 10.
 650000: system.ruby.l1_cntrl0.L1Icache: Hello World! Occupied value : 3.
 650000: system.ruby.l1_cntrl0.L1Dcache: Hello World! Occupied value : 7.
 660000: system.ruby.l1_cntrl0.L1Dcache: Hello World! Occupied value : 7.
 660000: system.ruby.l1_cntrl0.L1Icache: Hello World! Occupied value : 3.
 660000: system.ruby.l2_cntrl0.L2cache: Hello World! Occupied value : 10.
 670000: system.ruby.l2_cntrl0.L2cache: Hello World! Occupied value : 10.
 670000: system.ruby.l1_cntrl0.L1Icache: Hello World! Occupied value : 3.
 670000: system.ruby.l1_cntrl0.L1Dcache: Hello World! Occupied value : 7.
 680000: system.ruby.l1_cntrl0.L1Dcache: Hello World! Occupied value : 7.
 680000: system.ruby.l1_cntrl0.L1Icache: Hello World! Occupied value : 3.
 680000: system.ruby.l2_cntrl0.L2cache: Hello World! Occupied value : 10.
 690000: system.ruby.l2_cntrl0.L2cache: Hello World! Occupied value : 10.
 690000: system.ruby.l1_cntrl0.L1Icache: Hello World! Occupied value : 3.
 690000: system.ruby.l1_cntrl0.L1Dcache: Hello World! Occupied value : 7.
 700000: system.ruby.l1_cntrl0.L1Dcache: Hello World! Occupied value : 7.
 700000: system.ruby.l1_cntrl0.L1Icache: Hello World! Occupied value : 3.
 700000: system.ruby.l2_cntrl0.L2cache: Hello World! Occupied value : 10.
 710000: system.ruby.l2_cntrl0.L2cache: Hello World! Occupied value : 10.
 710000: system.ruby.l1_cntrl0.L1Icache: Hello World! Occupied value : 3.
 710000: system.ruby.l1_cntrl0.L1Dcache: Hello World! Occupied value : 7.
 720000: system.ruby.l1_cntrl0.L1Dcache: Hello World! Occupied value : 8.
 720000: system.ruby.l1_cntrl0.L1Icache: Hello World! Occupied value : 3.
 720000: system.ruby.l2_cntrl0.L2cache: Hello World! Occupied value : 10.
 730000: system.ruby.l2_cntrl0.L2cache: Hello World! Occupied value : 11.
 730000: system.ruby.l1_cntrl0.L1Icache: Hello World! Occupied value : 3.
 730000: system.ruby.l1_cntrl0.L1Dcache: Hello World! Occupied value : 8.
 740000: system.ruby.l1_cntrl0.L1Dcache: Hello World! Occupied value : 8.
 740000: system.ruby.l1_cntrl0.L1Icache: Hello World! Occupied value : 3.
 740000: system.ruby.l2_cntrl0.L2cache: Hello World! Occupied value : 11.
 750000: system.ruby.l2_cntrl0.L2cache: Hello World! Occupied value : 11.
 750000: system.ruby.l1_cntrl0.L1Icache: Hello World! Occupied value : 3.
 750000: system.ruby.l1_cntrl0.L1Dcache: Hello World! Occupied value : 8.
 760000: system.ruby.l1_cntrl0.L1Dcache: Hello World! Occupied value : 8.
 760000: system.ruby.l1_cntrl0.L1Icache: Hello World! Occupied value : 3.
 760000: system.ruby.l2_cntrl0.L2cache: Hello World! Occupied value : 11.
 770000: system.ruby.l2_cntrl0.L2cache: Hello World! Occupied value : 11.
 770000: system.ruby.l1_cntrl0.L1Icache: Hello World! Occupied value : 3.
 770000: system.ruby.l1_cntrl0.L1Dcache: Hello World! Occupied value : 8.
 780000: system.ruby.l1_cntrl0.L1Dcache: Hello World! Occupied value : 8.
 780000: system.ruby.l1_cntrl0.L1Icache: Hello World! Occupied value : 4.
 780000: system.ruby.l2_cntrl0.L2cache: Hello World! Occupied value : 11.
 790000: system.ruby.l2_cntrl0.L2cache: Hello World! Occupied value : 12.
 790000: system.ruby.l1_cntrl0.L1Icache: Hello World! Occupied value : 4.
 790000: system.ruby.l1_cntrl0.L1Dcache: Hello World! Occupied value : 8.
 800000: system.ruby.l1_cntrl0.L1Dcache: Hello World! Occupied value : 8.
 800000: system.ruby.l1_cntrl0.L1Icache: Hello World! Occupied value : 4.
 800000: system.ruby.l2_cntrl0.L2cache: Hello World! Occupied value : 12.
 810000: system.ruby.l2_cntrl0.L2cache: Hello World! Occupied value : 12.
 810000: system.ruby.l1_cntrl0.L1Icache: Hello World! Occupied value : 4.
 810000: system.ruby.l1_cntrl0.L1Dcache: Hello World! Occupied value : 8.
 820000: system.ruby.l1_cntrl0.L1Dcache: Hello World! Occupied value : 8.
 820000: system.ruby.l1_cntrl0.L1Icache: Hello World! Occupied value : 4.
 820000: system.ruby.l2_cntrl0.L2cache: Hello World! Occupied value : 12.
 830000: system.ruby.l2_cntrl0.L2cache: Hello World! Occupied value : 12.
 830000: system.ruby.l1_cntrl0.L1Icache: Hello World! Occupied value : 4.
 830000: system.ruby.l1_cntrl0.L1Dcache: Hello World! Occupied value : 8.
 840000: system.ruby.l1_cntrl0.L1Dcache: Hello World! Occupied value : 8.
 840000: system.ruby.l1_cntrl0.L1Icache: Hello World! Occupied value : 5.
 840000: system.ruby.l2_cntrl0.L2cache: Hello World! Occupied value : 12.
 850000: system.ruby.l2_cntrl0.L2cache: Hello World! Occupied value : 13.
 850000: system.ruby.l1_cntrl0.L1Icache: Hello World! Occupied value : 5.
 850000: system.ruby.l1_cntrl0.L1Dcache: Hello World! Occupied value : 8.
 860000: system.ruby.l1_cntrl0.L1Dcache: Hello World! Occupied value : 8.
 860000: system.ruby.l1_cntrl0.L1Icache: Hello World! Occupied value : 5.
 860000: system.ruby.l2_cntrl0.L2cache: Hello World! Occupied value : 13.
 870000: system.ruby.l2_cntrl0.L2cache: Hello World! Occupied value : 13.
 870000: system.ruby.l1_cntrl0.L1Icache: Hello World! Occupied value : 5.
 870000: system.ruby.l1_cntrl0.L1Dcache: Hello World! Occupied value : 8.
 880000: system.ruby.l1_cntrl0.L1Dcache: Hello World! Occupied value : 8.
 880000: system.ruby.l1_cntrl0.L1Icache: Hello World! Occupied value : 5.
 880000: system.ruby.l2_cntrl0.L2cache: Hello World! Occupied value : 13.
 890000: system.ruby.l2_cntrl0.L2cache: Hello World! Occupied value : 13.
 890000: system.ruby.l1_cntrl0.L1Icache: Hello World! Occupied value : 5.
 890000: system.ruby.l1_cntrl0.L1Dcache: Hello World! Occupied value : 8.
 900000: system.ruby.l1_cntrl0.L1Dcache: Hello World! Occupied value : 8.
 900000: system.ruby.l1_cntrl0.L1Icache: Hello World! Occupied value : 5.
 900000: system.ruby.l2_cntrl0.L2cache: Hello World! Occupied value : 13.
 910000: system.ruby.l2_cntrl0.L2cache: Hello World! Occupied value : 13.
 910000: system.ruby.l1_cntrl0.L1Icache: Hello World! Occupied value : 5.
 910000: system.ruby.l1_cntrl0.L1Dcache: Hello World! Occupied value : 8.
 920000: system.ruby.l1_cntrl0.L1Dcache: Hello World! Occupied value : 8.
 920000: system.ruby.l1_cntrl0.L1Icache: Hello World! Occupied value : 5.
 920000: system.ruby.l2_cntrl0.L2cache: Hello World! Occupied value : 13.
 930000: system.ruby.l2_cntrl0.L2cache: Hello World! Occupied value : 13.
 930000: system.ruby.l1_cntrl0.L1Icache: Hello World! Occupied value : 5.
 930000: system.ruby.l1_cntrl0.L1Dcache: Hello World! Occupied value : 8.
 940000: system.ruby.l1_cntrl0.L1Dcache: Hello World! Occupied value : 8.
 940000: system.ruby.l1_cntrl0.L1Icache: Hello World! Occupied value : 6.
 940000: system.ruby.l2_cntrl0.L2cache: Hello World! Occupied value : 14.
 950000: system.ruby.l2_cntrl0.L2cache: Hello World! Occupied value : 14.
 950000: system.ruby.l1_cntrl0.L1Icache: Hello World! Occupied value : 6.
 950000: system.ruby.l1_cntrl0.L1Dcache: Hello World! Occupied value : 8.
 960000: system.ruby.l1_cntrl0.L1Dcache: Hello World! Occupied value : 8.
 960000: system.ruby.l1_cntrl0.L1Icache: Hello World! Occupied value : 6.
 960000: system.ruby.l2_cntrl0.L2cache: Hello World! Occupied value : 14.
 970000: system.ruby.l2_cntrl0.L2cache: Hello World! Occupied value : 14.
 970000: system.ruby.l1_cntrl0.L1Icache: Hello World! Occupied value : 6.
 970000: system.ruby.l1_cntrl0.L1Dcache: Hello World! Occupied value : 8.
 980000: system.ruby.l1_cntrl0.L1Dcache: Hello World! Occupied value : 8.
 980000: system.ruby.l1_cntrl0.L1Icache: Hello World! Occupied value : 6.
 980000: system.ruby.l2_cntrl0.L2cache: Hello World! Occupied value : 14.
 990000: system.ruby.l2_cntrl0.L2cache: Hello World! Occupied value : 14.
 990000: system.ruby.l1_cntrl0.L1Icache: Hello World! Occupied value : 6.
 990000: system.ruby.l1_cntrl0.L1Dcache: Hello World! Occupied value : 8.
1000000: system.ruby.l1_cntrl0.L1Dcache: Hello World! Occupied value : 9.
1000000: system.ruby.l1_cntrl0.L1Icache: Hello World! Occupied value : 6.
1000000: system.ruby.l2_cntrl0.L2cache: Hello World! Occupied value : 14.
1010000: system.ruby.l2_cntrl0.L2cache: Hello World! Occupied value : 15.
1010000: system.ruby.l1_cntrl0.L1Icache: Hello World! Occupied value : 6.
1010000: system.ruby.l1_cntrl0.L1Dcache: Hello World! Occupied value : 9.
1020000: system.ruby.l1_cntrl0.L1Dcache: Hello World! Occupied value : 9.
1020000: system.ruby.l1_cntrl0.L1Icache: Hello World! Occupied value : 6.
1020000: system.ruby.l2_cntrl0.L2cache: Hello World! Occupied value : 15.
1030000: system.ruby.l2_cntrl0.L2cache: Hello World! Occupied value : 15.
1030000: system.ruby.l1_cntrl0.L1Icache: Hello World! Occupied value : 6.
1030000: system.ruby.l1_cntrl0.L1Dcache: Hello World! Occupied value : 9.
1040000: system.ruby.l1_cntrl0.L1Dcache: Hello World! Occupied value : 9.
1040000: system.ruby.l1_cntrl0.L1Icache: Hello World! Occupied value : 6.
1040000: system.ruby.l2_cntrl0.L2cache: Hello World! Occupied value : 15.
1050000: system.ruby.l2_cntrl0.L2cache: Hello World! Occupied value : 15.
1050000: system.ruby.l1_cntrl0.L1Icache: Hello World! Occupied value : 6.
1050000: system.ruby.l1_cntrl0.L1Dcache: Hello World! Occupied value : 9.
1060000: system.ruby.l1_cntrl0.L1Dcache: Hello World! Occupied value : 9.
1060000: system.ruby.l1_cntrl0.L1Icache: Hello World! Occupied value : 6.
1060000: system.ruby.l2_cntrl0.L2cache: Hello World! Occupied value : 15.
1070000: system.ruby.l2_cntrl0.L2cache: Hello World! Occupied value : 15.
1070000: system.ruby.l1_cntrl0.L1Icache: Hello World! Occupied value : 6.
1070000: system.ruby.l1_cntrl0.L1Dcache: Hello World! Occupied value : 9.
1080000: system.ruby.l1_cntrl0.L1Dcache: Hello World! Occupied value : 9.
1080000: system.ruby.l1_cntrl0.L1Icache: Hello World! Occupied value : 6.
1080000: system.ruby.l2_cntrl0.L2cache: Hello World! Occupied value : 15.
1090000: system.ruby.l2_cntrl0.L2cache: Hello World! Occupied value : 15.
1090000: system.ruby.l1_cntrl0.L1Icache: Hello World! Occupied value : 6.
1090000: system.ruby.l1_cntrl0.L1Dcache: Hello World! Occupied value : 10.
1100000: system.ruby.l1_cntrl0.L1Dcache: Hello World! Occupied value : 10.
1100000: system.ruby.l1_cntrl0.L1Icache: Hello World! Occupied value : 6.
1100000: system.ruby.l2_cntrl0.L2cache: Hello World! Occupied value : 16.
1110000: system.ruby.l2_cntrl0.L2cache: Hello World! Occupied value : 16.
1110000: system.ruby.l1_cntrl0.L1Icache: Hello World! Occupied value : 6.
1110000: system.ruby.l1_cntrl0.L1Dcache: Hello World! Occupied value : 10.
